Gene ID	source_id	gene_source_id	Gene Name or Symbol	Hypnozoite, schizont and blood stage transcriptomes (laser microdissection) - Liver schizont - unique (Pcyn LCM hypno-schizo-blood RNA-Seq)	Hypnozoite, schizont and blood stage transcriptomes (laser microdissection) - Blood stage - unique (Pcyn LCM hypno-schizo-blood RNA-Seq)	Hypnozoite, schizont and blood stage transcriptomes (laser microdissection) - Hypnozoite - unique (Pcyn LCM hypno-schizo-blood RNA-Seq)	
PcyM_0012100	PcyM_0012100-t36_1	PcyM_0012100	N/A	58.6	20.45	3.55	
PcyM_0012300	PcyM_0012300-t36_1	PcyM_0012300	N/A	79.59	17.51	0.78	
PcyM_0012400	PcyM_0012400-t36_1	PcyM_0012400	N/A	0	5.76	0.81	
PcyM_0012500	PcyM_0012500-t36_1	PcyM_0012500	N/A	0	228.75	0	
PcyM_0012600	PcyM_0012600-t36_1	PcyM_0012600	N/A	0	491.35	0	
PcyM_0012700	PcyM_0012700-t36_1	PcyM_0012700	N/A	0.48	40.55	0	
PcyM_0012800	PcyM_0012800-t36_1	PcyM_0012800	N/A	0.18	178.48	0	
PcyM_0012900	PcyM_0012900-t36_1	PcyM_0012900	N/A	1.04	122.23	758.05	
PcyM_0013100	PcyM_0013100-t36_1	PcyM_0013100	N/A	0	10754.53	8.07	
PcyM_0013200	PcyM_0013200-t36_1	PcyM_0013200	N/A	0	5734.13	0	
PcyM_0013300	PcyM_0013300-t36_1	PcyM_0013300	N/A	0.37	93.7	0	
PcyM_0013400	PcyM_0013400-t36_1	PcyM_0013400	N/A	1.22	246.04	7.41	
PcyM_0013500	PcyM_0013500-t36_1	PcyM_0013500	N/A	0	149.49	1.69	
PcyM_0013600	PcyM_0013600-t36_1	PcyM_0013600	N/A	0	7.27	0	
PcyM_0013700	PcyM_0013700-t36_1	PcyM_0013700	N/A	0.31	65.03	61.14	
PcyM_0013800	PcyM_0013800-t36_1	PcyM_0013800	N/A	0	4.33	0	
PcyM_0013900	PcyM_0013900-t36_1	PcyM_0013900	N/A	0	35.25	0.78	
PcyM_0013950	PcyM_0013950-t36_1	PcyM_0013950	N/A	0	79.55	0	
PcyM_0014000	PcyM_0014000-t36_1	PcyM_0014000	N/A	0	31.6	0	
PcyM_0014100	PcyM_0014100-t36_1	PcyM_0014100	N/A	0	0.25	1.22	
PcyM_0014200	PcyM_0014200-t36_1	PcyM_0014200	N/A	0	5.86	0	
PcyM_0014300	PcyM_0014300-t36_1	PcyM_0014300	N/A	0	1.53	4.51	
PcyM_0014400	PcyM_0014400-t36_1	PcyM_0014400	N/A	0	2.58	0	
PcyM_0014500	PcyM_0014500-t36_1	PcyM_0014500	N/A	0	2.81	0	
PcyM_0014600	PcyM_0014600-t36_1	PcyM_0014600	N/A	0	3.17	0	
PcyM_0014700	PcyM_0014700-t36_1	PcyM_0014700	N/A	0	18.46	0	
PcyM_0014800	PcyM_0014800-t36_1	PcyM_0014800	N/A	0	15.78	0	
PcyM_0014900	PcyM_0014900-t36_1	PcyM_0014900	N/A	0	44.64	0	
PcyM_0014950	PcyM_0014950-t36_1	PcyM_0014950	N/A	0	1.31	0	
PcyM_0015000	PcyM_0015000-t36_1	PcyM_0015000	N/A	0	64.8	10.6	
PcyM_0015100	PcyM_0015100-t36_1	PcyM_0015100	N/A	0	3.93	1.23	
PcyM_0015200	PcyM_0015200-t36_1	PcyM_0015200	N/A	0	1.73	0	
PcyM_0015300	PcyM_0015300-t36_1	PcyM_0015300	N/A	0	6.61	0	
PcyM_0015350	PcyM_0015350-t36_1	PcyM_0015350	N/A	0	6.57	0	
PcyM_0015400	PcyM_0015400-t36_1	PcyM_0015400	N/A	0	12.98	0	
