Gene ID	source_id	smru1 - smru1 6 hours - unique (intraerythrocytic cycle)	smru1 - smru1 18 hours - unique (intraerythrocytic cycle)	smru1 - smru1 24 hours - unique (intraerythrocytic cycle)	smru1 - smru1 30 hours - unique (intraerythrocytic cycle)	smru1 - smru1 36 hours - unique (intraerythrocytic cycle)	smru1 - smru1 48 hours - unique (intraerythrocytic cycle)	smru1 - smru1 42 hours - unique (intraerythrocytic cycle)	smru2 - smru2 6 hours - unique (intraerythrocytic cycle)	smru2 - smru2 12 hours - unique (intraerythrocytic cycle)	smru2 - smru2 18 hours - unique (intraerythrocytic cycle)	smru2 - smru2 24 hours - unique (intraerythrocytic cycle)	smru2 - smru2 30 hours - unique (intraerythrocytic cycle)	smru2 - smru2 36 hours - unique (intraerythrocytic cycle)	smru2 - smru2 42 hours - unique (intraerythrocytic cycle)	smru2 - smru2 48 hours - unique (intraerythrocytic cycle)	
PVP01_0009430	PVP01_0009430.1	10.58	21.45	23.8	18.08	10.49	15.9	12.32	18.13	30	37.08	27.46	13.74	14.31	14.68	27.72	
PVP01_1261100	PVP01_1261100.1	330.88	329.33	327.74	322.39	225.6	196.28	169.24	329.67	356.63	385.95	395.43	350.91	226.39	168.12	211.87	
PVP01_0008920	PVP01_0008920.1	1.83	2.89	1.6	0	0	0	0	5.72	5.89	13.33	8.26	0	1.58	0	2.51	
PVP01_0008940	PVP01_0008940.1	0	0	0	0	0	0	0	1.07	0	1.11	0.4	1.19	0	0	1.17	
PVP01_1262400	PVP01_1262400.1	13.54	5.35	10.69	5.91	17.29	58.5	47.03	14.4	21.81	10.52	10.34	23.51	19.89	36.01	39.87	
PVP01_1263200	PVP01_1263200.1	51.12	40.08	51.07	77.75	40.89	27.64	27.44	52.42	47.24	41.91	56.14	61.69	39.45	22.73	35	
PVP01_1263800	PVP01_1263800.1	9.92	19.5	15.17	2.48	3.36	3.79	1.41	12.77	19.86	16.25	11.22	3.94	3.67	6.33	5.82	
PVP01_1264100	PVP01_1264100.1	50.78	74.08	74.22	69.69	31.49	10.39	13.74	53.19	72.04	79.47	80.32	51.77	25.95	16.16	21.68	
PVP01_0000310	PVP01_0000310.1	0.48	0.76	0.42	0.52	0	0.38	0	1.79	3.85	2.32	3.32	3.32	0.41	1.02	0.98	
PVP01_0000320	PVP01_0000320.1	3.4	0.9	0	0.62	0	0.44	0	5.31	3.65	2.75	2.36	1.18	0	2.41	1.55	
PVP01_1265500	PVP01_1265500.1	9.86	8.31	13.83	46.64	67.75	21.17	30.66	29.2	10.06	14.04	39.93	86.97	63.32	29.02	28.36	
PVP01_0000380	PVP01_0000380.1	0.52	0.41	0.46	1.14	0	0	0.52	0	0	0	0	0	0	0	0	
PVP01_0000400	PVP01_0000400.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
PVP01_0000470	PVP01_0000470.1	1.1	0.43	0.48	0	0	0.43	0	1.37	2.21	1.6	2.66	1.52	0	1.17	1.88	
PVP01_1267200	PVP01_1267200.1	179.16	204.05	257.91	261.76	108.72	74.23	70.69	168.98	228.33	220.55	296.73	237.09	98.1	72.01	75.34	
PVP01_1268500	PVP01_1268500.1	21.54	34.78	32.86	9.29	7.1	9.24	6.65	31.48	38.78	38.5	26.27	14.46	11.73	9.05	9.79	
PVP01_0000650	PVP01_0000650.1	0	0.41	0	0	0	0	0	0.98	4.22	1.02	1.82	0.36	0	0.56	0.36	
PVP01_1269200	PVP01_1269200.1	13.19	28.85	27.57	18	13.23	9.84	8.51	21.73	24.78	27.97	22.89	14.96	13.86	9.82	12.49	
PVP01_1269500	PVP01_1269500.1	198.07	175.24	147.31	155.23	97.18	40.15	52.44	240.26	213.12	191.51	201.63	187.39	109.12	57.12	79.72	
PVP01_0000740	PVP01_0000740.1	0.52	0	0.46	0	0	0	0.52	2.29	2.95	4.06	2.54	0.36	0.45	0.56	1.43	
PVP01_1269900	PVP01_1269900.1	39.07	78.23	66.23	36.95	14.25	16.36	12.92	50.5	60.82	82.19	63.28	22.61	9	4.15	22.29	
PVP01_1270000	PVP01_1270000.1	30.9	40.26	48.94	21.2	9.8	10.94	7.39	28.5	43.96	43.17	41.04	17.47	11.29	8.18	16.81	
PVP01_0000780	PVP01_0000780.1	0	0	0	0	0	0	0	0	1.02	0	0	0	0	0	0	
PVP01_1270700	PVP01_1270700.1	1.72	1.02	0	6.1	5.09	2.02	2.98	2.15	0.35	1.67	2.68	3.88	0.74	1.37	1.76	
PVP01_1271000	PVP01_1271000.1	0.96	0	0	0	0	3.02	0.95	7.22	1.55	5.6	4.01	5.34	4.15	3.07	15.15	
PVP01_1271100	PVP01_1271100.1	0.16	0.25	0.41	65.94	75.04	25.08	46.36	29.23	1.27	0.92	32.11	121.93	82.9	46.18	45.46	
PVP01_0000880	PVP01_0000880.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
PVP01_1271800	PVP01_1271800.1	0.49	0.39	2.16	14.54	11.7	8.53	14.69	4.63	0	0.48	12.33	32.9	20.89	35.69	19.26	
PVP01_0000900	PVP01_0000900.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
PVP01_1272100	PVP01_1272100.1	5.31	1.86	3.1	1.29	2.15	2.32	2.34	10.7	8.07	6.3	2.05	2.05	2.04	2.51	1.62	
PVP01_1273500	PVP01_1273500.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
PVP01_1274300	PVP01_1274300.1	0.5	1.18	0	0	0	0	0	0.93	0.8	0	1.03	0.69	0	0	1.02	
PVP01_0500100	PVP01_0500100.1	0	0	0	0	0	0	0.59	1.5	0.48	0	0	0.42	0	0	0	
PVP01_0500700	PVP01_0500700.1	0.96	0.38	0	0.52	0	0	0	1.79	1.54	0.93	3.65	1	1.24	0.51	1.64	
PVP01_0001970	PVP01_0001970.1	0	0	0	0	0	0	0	0.95	0.82	0	0	0	1.31	0.54	1.39	
PVP01_0501500	PVP01_0501500.1	2.87	1.51	0.84	0.52	0	1.5	0.47	4.19	6.16	4.64	4.32	0.66	1.65	1.02	3.6	
PVP01_0501700	PVP01_0501700.1	0	0	0	0	0.54	0	0	1.86	0.96	4.05	2.07	1.66	0	1.9	2.04	
PVP01_0007370	PVP01_0007370.1	0.69	0	0	0	0	0	0.68	2.57	0.55	0	0.48	0	0	0	0.47	
PVP01_0502200	PVP01_0502200.1	0	0	0.49	0	0	0	0	0.35	0.45	1.64	0.39	0	0.49	0	0	
PVP01_0007380	PVP01_0007380.1	0	0	0	0	0	0	0	0.42	0	0.65	0	0	0	0	0	
PVP01_0007450	PVP01_0007450.1	2.78	1.83	0.41	0.5	0.42	1.45	0.46	0	0.74	0	0	0	0	0	0.95	
PVP01_0503400	PVP01_0503400.1	0.47	0	0.83	0	3.87	148.87	131.01	1.18	34.55	7.33	2.62	1.96	40.33	142.92	90.72	
PVP01_0503500	PVP01_0503500.1	66.63	21	22.11	35.87	52.56	50.56	35.74	67.87	37.34	43.28	46.57	80.67	58.34	51.71	58.57	
PVP01_0504300	PVP01_0504300.1	982.42	834.55	725.02	537.23	421.23	391.16	333.04	998.28	842.32	875.15	798.17	655.77	507.16	439.16	416.71	
PVP01_0505200	PVP01_0505200.1	116.57	144.1	69.6	37.9	29.97	44.8	28.92	145.06	169.27	131.87	44.34	38.33	25.71	48.8	53.92	
PVP01_0505400	PVP01_0505400.1	32.43	45.23	52.35	46.11	26.75	11.84	14.35	28.23	36.1	42.33	41.87	28.33	17.4	11.75	16.19	
PVP01_0002140	PVP01_0002140.1	21.29	19.76	18.07	5.53	1.54	4.78	2.01	25.79	26.12	35.44	24.16	7.04	5.25	7.55	10.64	
PVP01_0506400	PVP01_0506400.1	152.29	82.07	48.01	50.14	80.93	360.78	167.35	40.94	60.81	51.94	38.44	55.5	95.67	157.28	246.45	
PVP01_0506500	PVP01_0506500.1	453.17	615.01	711.44	1041.31	558.43	229.56	262.92	736.83	649.4	737.53	938.68	840.72	472.9	241.91	217.41	
PVP01_0506600	PVP01_0506600.1	48.37	57.02	60.29	101.35	82.35	96.65	97.21	56.07	75.77	58.27	87.44	100.31	86.84	96.38	94.48	
PVP01_0002210	PVP01_0002210.1	6.59	2.89	2.78	1.33	1.78	12.83	5.08	1.07	1.37	0.71	0.51	0.34	0	0	0.33	
PVP01_0507400	PVP01_0507400.1	61.61	50.86	49.23	35.35	28.36	29.51	21.85	43.31	44.28	48.09	42.37	26.79	22.38	21.89	34	
