Gene ID	source_id	Gene Name or Symbol	gene_source_id	sense - salivary gland sporozoites - unique only	Transcriptomic Analysis of Cultured Sporozoites - Sporozoites - unique (Pf3D7 Sporoz_Blood RNA-Seq)	Transcriptomic Analysis of Cultured Sporozoites - Cultured sporozoites - unique (Pf3D7 Sporoz_Blood RNA-Seq)	
PF3D7_1121100	PF3D7_1121100.1	N/A	PF3D7_1121100	2.29	4.6	43.78	
PF3D7_1121200	PF3D7_1121200.1	N/A	PF3D7_1121200	3.38	1.56	22.68	
PF3D7_1121300	PF3D7_1121300.1	TKL2	PF3D7_1121300	5.33	12.92	25.22	
PF3D7_1121400	PF3D7_1121400.1	N/A	PF3D7_1121400	2.23	2.58	31.63	
PF3D7_1121500	PF3D7_1121500.1	N/A	PF3D7_1121500	0.89	3.72	44.52	
PF3D7_1121600	PF3D7_1121600.1	EXP1	PF3D7_1121600	298	194.38	345.51	
PF3D7_1121700	PF3D7_1121700.1	GCN20	PF3D7_1121700	65.89	437.19	98.15	
PF3D7_1121800	PF3D7_1121800.1	N/A	PF3D7_1121800	1.27	0.28	26.41	
PF3D7_1121900	PF3D7_1121900.1	N/A	PF3D7_1121900	5.5	1.29	65.64	
PF3D7_1122000	PF3D7_1122000.1	N/A	PF3D7_1122000	1.48	0.3	20.5	
PF3D7_1122100	PF3D7_1122100.1	GPI16	PF3D7_1122100	0.49	0.09	13.56	
PF3D7_1122200	PF3D7_1122200.1	N/A	PF3D7_1122200	1.3	1.63	23.85	
PF3D7_1122300	PF3D7_1122300.1	N/A	PF3D7_1122300	3.06	0.2	21.24	
PF3D7_1122400	PF3D7_1122400.1	N/A	PF3D7_1122400	2.26	4.87	34.66	
