Gene ID	source_id	Gene Name or Symbol	gene_source_id	sense - salivary gland sporozoites - unique only	Transcriptomic Analysis of Cultured Sporozoites - Sporozoites - unique (Pf3D7 Sporoz_Blood RNA-Seq)	Transcriptomic Analysis of Cultured Sporozoites - Cultured sporozoites - unique (Pf3D7 Sporoz_Blood RNA-Seq)	
PF3D7_1355300	PF3D7_1355300.1	SET6	PF3D7_1355300	19.93	15.19	27.19	
PF3D7_1355500	PF3D7_1355500.1	PP5	PF3D7_1355500	0.38	0.85	56.12	
PF3D7_1355600	PF3D7_1355600.1	PIP1	PF3D7_1355600	6.95	12.68	34.1	
PF3D7_1355700	PF3D7_1355700.1	NIF3	PF3D7_1355700	41.7	154.2	55.69	
PF3D7_1355800	PF3D7_1355800.1	SF3B5	PF3D7_1355800	2.3	8.09	37.95	
PF3D7_1355900	PF3D7_1355900.1	N/A	PF3D7_1355900	0.31	1.91	60.76	
PF3D7_1356000	PF3D7_1356000.1	N/A	PF3D7_1356000	0.72	0.64	32.6	
PF3D7_1356100	PF3D7_1356100.1	N/A	PF3D7_1356100	2.13	3.5	71.95	
PF3D7_1356200	PF3D7_1356200.1	TIM23	PF3D7_1356200	0.75	0.72	213.38	
PF3D7_1356300	PF3D7_1356300.1	N/A	PF3D7_1356300	4.52	1.08	40.66	
PF3D7_1356400	PF3D7_1356400.1	N/A	PF3D7_1356400	12	9.76	21.27	
PF3D7_1356500	PF3D7_1356500.1	N/A	PF3D7_1356500	0.65	0.25	11.07	
PF3D7_1356600	PF3D7_1356600.1	N/A	PF3D7_1356600	7.21	5.3	27.46	
PF3D7_1356700	PF3D7_1356700.1	N/A	PF3D7_1356700	12.93	15.37	36.5	
PF3D7_1356800	PF3D7_1356800.1	ARK3	PF3D7_1356800	1.55	0.34	35.73	
PF3D7_1356900	PF3D7_1356900.1	PK5	PF3D7_1356900	3.6	0.25	50.76	
PF3D7_1357000	PF3D7_1357000.1	N/A	PF3D7_1357000	6.9	6.51	14.55	
PF3D7_1357100	PF3D7_1357100.1	N/A	PF3D7_1357100	4.21	3.94	15.19	
PF3D7_1357200	PF3D7_1357200.1	GluRS	PF3D7_1357200	4.1	0.68	53.24	
PF3D7_1357300	PF3D7_1357300.1	N/A	PF3D7_1357300	0	0.8	30.54	
PF3D7_1357400	PF3D7_1357400.1	N/A	PF3D7_1357400	21.7	12.35	83.02	
PF3D7_1357500	PF3D7_1357500.1	N/A	PF3D7_1357500	15.84	9.18	29.95	
PF3D7_1357600	PF3D7_1357600.1	N/A	PF3D7_1357600	4.22	1.82	21.62	
PF3D7_1357700	PF3D7_1357700.1	UTP21	PF3D7_1357700	20.94	15.1	20.93	
PF3D7_1357800	PF3D7_1357800.1	CCT4	PF3D7_1357800	13.84	20.93	74.49	
PF3D7_1357900	PF3D7_1357900.1	N/A	PF3D7_1357900	3.97	3.05	37.48	
PF3D7_1358000	PF3D7_1358000.1	N/A	PF3D7_1358000	2.35	0.9	66.99	
PF3D7_1358100	PF3D7_1358100.1	N/A	PF3D7_1358100	8.54	139.13	271.2	
PF3D7_1358200	PF3D7_1358200.1	N/A	PF3D7_1358200	5.35	3.45	43.06	
PF3D7_1358300	PF3D7_1358300.1	ROM7	PF3D7_1358300	5.57	3.84	9.41	
PF3D7_1358400	PF3D7_1358400.1	N/A	PF3D7_1358400	68.3	22.72	28.64	
PF3D7_1358500	PF3D7_1358500.1	N/A	PF3D7_1358500	8.05	5.38	30.73	
PF3D7_1358600	PF3D7_1358600.1	N/A	PF3D7_1358600	11.93	2.15	53.22	
PF3D7_1358700	PF3D7_1358700.1	YOP1L	PF3D7_1358700	20.71	39.89	55.44	
PF3D7_1358800	PF3D7_1358800.1	RPS15	PF3D7_1358800	5.83	4.95	94.65	
PF3D7_1358900	PF3D7_1358900.1	N/A	PF3D7_1358900	4.56	1.52	169.45	
PF3D7_1359000	PF3D7_1359000.1	N/A	PF3D7_1359000	11.49	11.52	26.62	
PF3D7_1359100	PF3D7_1359100.1	N/A	PF3D7_1359100	1.01	0.79	32.44	
PF3D7_1359200	PF3D7_1359200.1	HMGB4	PF3D7_1359200	4.32	3.45	40.27	
PF3D7_1359300	PF3D7_1359300.1	DIS3	PF3D7_1359300	4.85	3.14	117.04	
PF3D7_1359400	PF3D7_1359400.1	CELF1	PF3D7_1359400	47.23	61.08	135.12	
PF3D7_1359500	PF3D7_1359500.1	N/A	PF3D7_1359500	5.48	33.18	152.86	
PF3D7_1359600	PF3D7_1359600.1	N/A	PF3D7_1359600	3.75	31.34	89.12	
PF3D7_1359700	PF3D7_1359700.1	N/A	PF3D7_1359700	4.97	9.64	37.21	
PF3D7_1359800	PF3D7_1359800.1	N/A	PF3D7_1359800	4.38	3.69	14.1	
PF3D7_1359900	PF3D7_1359900.1	N/A	PF3D7_1359900	111.61	112	70.83	
PF3D7_1360000	PF3D7_1360000.1	N/A	PF3D7_1360000	3.29	1.5	74.99	
PF3D7_1360100	PF3D7_1360100.1	RRM1	PF3D7_1360100	0.7	0.4	25.54	
PF3D7_1360200	PF3D7_1360200.1	EMC3	PF3D7_1360200	1.96	0.28	56.13	
PF3D7_1360300	PF3D7_1360300.1	N/A	PF3D7_1360300	2.93	0.52	17.2	
PF3D7_1360400	PF3D7_1360400.1	N/A	PF3D7_1360400	1.21	0.77	54.08	
PF3D7_1360500	PF3D7_1360500.1	GCbeta	PF3D7_1360500	4.04	0.93	45.89	
PF3D7_1360700	PF3D7_1360700.1	PIAS	PF3D7_1360700	24.93	46.69	46.71	
PF3D7_1360800	PF3D7_1360800.1	FLN	PF3D7_1360800	479.2	1089.61	139.65	
PF3D7_1360900	PF3D7_1360900.1	N/A	PF3D7_1360900	3.27	1.99	36.04	
PF3D7_1361000	PF3D7_1361000.1	PRMT5	PF3D7_1361000	8.65	11.25	29.41	
PF3D7_1361100	PF3D7_1361100.1	SEC24A	PF3D7_1361100	45.4	106.97	88.22	
PF3D7_1361200	PF3D7_1361200.1	N/A	PF3D7_1361200	34.21	70.72	52.59	
PF3D7_1361300	PF3D7_1361300.1	N/A	PF3D7_1361300	1.59	0.51	19.74	
PF3D7_1361400	PF3D7_1361400.1	ADF2	PF3D7_1361400	4.95	3.03	25.55	
PF3D7_1361500	PF3D7_1361500.1	N/A	PF3D7_1361500	13.26	9.06	87.78	
PF3D7_1361500	PF3D7_1361500.2	N/A	PF3D7_1361500	13.26	9.06	87.78	
PF3D7_1361600	PF3D7_1361600.1	YfhJ	PF3D7_1361600	1.45	0.7	22.22	
PF3D7_1361700	PF3D7_1361700.1	COX2A	PF3D7_1361700	2	1.91	13.18	
PF3D7_1361800	PF3D7_1361800.1	GAC	PF3D7_1361800	1038.12	387.56	71.8	
PF3D7_1361900	PF3D7_1361900.1	PCNA1	PF3D7_1361900	4.89	6	64.15	
PF3D7_1362000	PF3D7_1362000.1	N/A	PF3D7_1362000	28.46	14.08	60.61	
PF3D7_1362100	PF3D7_1362100.1	14-3-3II	PF3D7_1362100	422.23	186.87	21.35	
PF3D7_1362200	PF3D7_1362200.1	RUVB3	PF3D7_1362200	2.26	1.86	71.34	
PF3D7_1362300	PF3D7_1362300.1	TMCO1	PF3D7_1362300	1.33	2.3	74.72	
PF3D7_1362400	PF3D7_1362400.1	Pcalp	PF3D7_1362400	3.81	1.49	69.59	
PF3D7_1362500	PF3D7_1362500.1	EXO	PF3D7_1362500	15.65	6.12	23.12	
PF3D7_1362600	PF3D7_1362600.1	N/A	PF3D7_1362600	135.26	372.33	104.9	
PF3D7_1362700	PF3D7_1362700.1	N/A	PF3D7_1362700	4.07	41.74	146.71	
PF3D7_1362800	PF3D7_1362800.1	N/A	PF3D7_1362800	4.26	1.13	156.28	
PF3D7_1362900	PF3D7_1362900.1	N/A	PF3D7_1362900	18.28	11.18	41.35	
PF3D7_1363000	PF3D7_1363000.1	N/A	PF3D7_1363000	4.92	1.74	21.49	
PF3D7_1363100	PF3D7_1363100.1	N/A	PF3D7_1363100	4.25	2.39	16.98	
PF3D7_1363200	PF3D7_1363200.1	PNKP	PF3D7_1363200	0	0.31	24.04	
PF3D7_1363300	PF3D7_1363300.1	N/A	PF3D7_1363300	2.52	0.1	23.11	
PF3D7_1363400	PF3D7_1363400.1	DOA1	PF3D7_1363400	2.55	1.21	29.78	
PF3D7_1363500	PF3D7_1363500.1	CCR4-2	PF3D7_1363500	3.81	1.91	21.7	
PF3D7_1363600	PF3D7_1363600.1	N/A	PF3D7_1363600	1.11	0	45.31	
PF3D7_1363700	PF3D7_1363700.1	AMR1	PF3D7_1363700	2.7	0.15	47.59	
PF3D7_1363800	PF3D7_1363800.1	GEX1	PF3D7_1363800	2.65	0.61	34.03	
PF3D7_1364000	PF3D7_1364000.1	N/A	PF3D7_1364000	25.23	21.82	34.81	
PF3D7_1364100	PF3D7_1364100.1	P92	PF3D7_1364100	4.72	8.01	28.88	
PF3D7_1364200	PF3D7_1364200.1	NUP205	PF3D7_1364200	92.9	88.95	44.85	
PF3D7_1364300	PF3D7_1364300.1	PRP16	PF3D7_1364300	22.89	21.18	55.11	
PF3D7_1364400	PF3D7_1364400.1	N/A	PF3D7_1364400	6.27	12.83	48.4	
PF3D7_1364500	PF3D7_1364500.1	RRP45	PF3D7_1364500	11.34	0.81	33.75	
PF3D7_1364600	PF3D7_1364600.1	N/A	PF3D7_1364600	4.59	0.77	33.25	
PF3D7_1364700	PF3D7_1364700.1	N/A	PF3D7_1364700	0.59	0.28	85.08	
PF3D7_1364800	PF3D7_1364800.1	RPB5	PF3D7_1364800	4.34	2	58.62	
PF3D7_1364900	PF3D7_1364900.1	FC	PF3D7_1364900	0.36	0.48	20.16	
PF3D7_1365000	PF3D7_1365000.1	N/A	PF3D7_1365000	2.39	1.46	84.88	
PF3D7_1365100	PF3D7_1365100.1	mtRPS17	PF3D7_1365100	6.72	3.56	18.3	
PF3D7_1365200	PF3D7_1365200.1	N/A	PF3D7_1365200	0	1.87	23.58	
PF3D7_1365300	PF3D7_1365300.1	N/A	PF3D7_1365300	8.65	12.84	28.39	
PF3D7_1365400	PF3D7_1365400.1	UBA4	PF3D7_1365400	1.52	4.36	37.9	
PF3D7_1365500	PF3D7_1365500.1	GCVT	PF3D7_1365500	3.33	1.55	56.56	
PF3D7_1365600	PF3D7_1365600.1	TOP6B	PF3D7_1365600	31.29	129.34	88.96	
PF3D7_1365700	PF3D7_1365700.1	N/A	PF3D7_1365700	223.01	84.83	44.28	
PF3D7_1365800	PF3D7_1365800.1	N/A	PF3D7_1365800	136.63	235.72	48.6	
PF3D7_1365900	PF3D7_1365900.1	N/A	PF3D7_1365900	581.23	1015.94	212.44	
PF3D7_1366000	PF3D7_1366000.1	N/A	PF3D7_1366000	23.23	26.92	25.12	
PF3D7_1366100	PF3D7_1366100.1	DIP13	PF3D7_1366100	332.54	127.08	53.06	
PF3D7_1366200	PF3D7_1366200.1	N/A	PF3D7_1366200	79.97	40.52	24.05	
PF3D7_1366300	PF3D7_1366300.1	N/A	PF3D7_1366300	28.71	62.04	66.3	
PF3D7_1366400	PF3D7_1366400.1	RHOP148	PF3D7_1366400	1.69	4.79	212.54	
PF3D7_1366500	PF3D7_1366500.1	NDK	PF3D7_1366500	4.8	0.32	57.55	
PF3D7_1366600	PF3D7_1366600.1	SRPR-alpha	PF3D7_1366600	71.13	189.98	170.44	
PF3D7_1366700	PF3D7_1366700.1	N/A	PF3D7_1366700	13.98	7.83	29.92	
PF3D7_1366800	PF3D7_1366800.1	N/A	PF3D7_1366800	36.67	24.28	55.6	
PF3D7_1366900	PF3D7_1366900.1	N/A	PF3D7_1366900	11.36	157.28	304.67	
PF3D7_1367000	PF3D7_1367000.1	SKP1	PF3D7_1367000	18.51	9.98	72.05	
PF3D7_1367100	PF3D7_1367100.1	SNP1	PF3D7_1367100	15.87	32.35	261.76	
PF3D7_1367200	PF3D7_1367200.1	N/A	PF3D7_1367200	1.38	1.32	51.78	
PF3D7_1367300	PF3D7_1367300.1	N/A	PF3D7_1367300	2.64	1.95	29.9	
PF3D7_1367400	PF3D7_1367400.1	N/A	PF3D7_1367400	12.71	6.45	29.42	
PF3D7_1367500	PF3D7_1367500.1	N/A	PF3D7_1367500	4.96	2.88	45.74	
PF3D7_1367600	PF3D7_1367600.1	N/A	PF3D7_1367600	1.14	0.65	25.17	
PF3D7_1367700	PF3D7_1367700.1	AlaRS	PF3D7_1367700	2.75	1.5	66.92	
PF3D7_1367800	PF3D7_1367800.1	PSOP2	PF3D7_1367800	2.92	1.48	373.24	
PF3D7_1367900	PF3D7_1367900.1	N/A	PF3D7_1367900	0.99	0.56	41.27	
PF3D7_1368000	PF3D7_1368000.1	N/A	PF3D7_1368000	1.98	0.76	28.01	
PF3D7_1368100	PF3D7_1368100.1	RPN11	PF3D7_1368100	5.36	3.19	57.9	
PF3D7_1368200	PF3D7_1368200.1	ABCE1	PF3D7_1368200	59.73	72.95	97.61	
PF3D7_1368300	PF3D7_1368300.1	N/A	PF3D7_1368300	26.48	28.9	73.1	
PF3D7_1368400	PF3D7_1368400.1	N/A	PF3D7_1368400	6.26	38.5	44.52	
PF3D7_1368500	PF3D7_1368500.1	N/A	PF3D7_1368500	0.92	3.83	17.43	
PF3D7_1368600	PF3D7_1368600.1	TIM9	PF3D7_1368600	8.45	14.1	121.72	
PF3D7_1368700	PF3D7_1368700.1	N/A	PF3D7_1368700	186.33	127.28	72.59	
PF3D7_1368800	PF3D7_1368800.1	ERCC4	PF3D7_1368800	4.25	8.61	53.99	
PF3D7_1368900	PF3D7_1368900.1	N/A	PF3D7_1368900	83.67	196.6	45.91	
PF3D7_1369000	PF3D7_1369000.1	GPAA1	PF3D7_1369000	1.62	1.83	26.72	
PF3D7_1369100	PF3D7_1369100.1	N/A	PF3D7_1369100	0.49	5.63	62.17	
PF3D7_1369200	PF3D7_1369200.1	N/A	PF3D7_1369200	0.74	2.92	28.2	
PF3D7_1369300	PF3D7_1369300.1	N/A	PF3D7_1369300	3.08	4.73	55.91	
PF3D7_1369400	PF3D7_1369400.1	N/A	PF3D7_1369400	3.25	4.32	38.8	
PF3D7_1369500	PF3D7_1369500.1	N/A	PF3D7_1369500	3.29	10.46	89.86	
PF3D7_1369600	PF3D7_1369600.1	N/A	PF3D7_1369600	3.48	15.3	51.16	
PF3D7_1369700	PF3D7_1369700.1	SNRPA1	PF3D7_1369700	3.64	9.66	31.09	
PF3D7_1370300	PF3D7_1370300.1	MAHRP1	PF3D7_1370300	3.36	22.34	107.54	
PF3D7_1371500	PF3D7_1371500.1	N/A	PF3D7_1371500	0.75	45.54	173.04	
PF3D7_1371600	PF3D7_1371600.1	EBL1	PF3D7_1371600	2.6	18.35	119.75	
PF3D7_1371700	PF3D7_1371700.1	FIKK13	PF3D7_1371700	1.94	7.3	91.23	
PF3D7_1371800	PF3D7_1371800.1	N/A	PF3D7_1371800	0.86	8.42	133.91	
PF3D7_1371900	PF3D7_1371900.1	N/A	PF3D7_1371900	0	2.19	26.83	
PF3D7_1372000	PF3D7_1372000.1	N/A	PF3D7_1372000	0	3.43	44.69	
PF3D7_1372100	PF3D7_1372100.1	GEXP04	PF3D7_1372100	2.67	2.51	82.43	
PF3D7_1372200	PF3D7_1372200.1	HRPIII	PF3D7_1372200	4.45	0.62	54.86	
PF3D7_1372300	PF3D7_1372300.1	N/A	PF3D7_1372300	4.06	7.62	40.33	
PF3D7_1372400	PF3D7_1372400.1	ACS4	PF3D7_1372400	1.85	2.33	31.34	
PF3D7_1372500	PF3D7_1372500.1	N/A	PF3D7_1372500	2.52	1.69	53.1	
PF3D7_1372600	PF3D7_1372600.1	RIF	PF3D7_1372600	3.83	0.98	207.68	
PF3D7_1372700	PF3D7_1372700.1	RIF	PF3D7_1372700	0	0.97	295.71	
PF3D7_1372800	PF3D7_1372800.1	N/A	PF3D7_1372800	0.84	1.77	62.06	
PF3D7_1372900	PF3D7_1372900.1	VAR	PF3D7_1372900	0	2.46	14.55	
PF3D7_1373000	PF3D7_1373000.1	RIF	PF3D7_1373000	0	0.5	23.09	
PF3D7_1373100	PF3D7_1373100.1	RIF	PF3D7_1373100	0	1.49	40.27	
PF3D7_1373200	PF3D7_1373200.1	N/A	PF3D7_1373200	0	1.37	9.97	
PF3D7_1373300	PF3D7_1373300.1	RIF	PF3D7_1373300	0	34.26	211.39	
PF3D7_1373400	PF3D7_1373400.1	RIF	PF3D7_1373400	0	0.9	184.18	
PF3D7_1373500	PF3D7_1373500.1	VAR	PF3D7_1373500	4.32	3.02	377.83	
PF3D7_1400100	PF3D7_1400100.1	N/A	PF3D7_1400100	3.63	0.3	193.64	
PF3D7_1400200	PF3D7_1400200.1	RIF	PF3D7_1400200	0.35	0.2	128.19	
PF3D7_1400300	PF3D7_1400300.1	RIF	PF3D7_1400300	0	0.28	180.97	
PF3D7_1400400	PF3D7_1400400.1	RIF	PF3D7_1400400	0.37	0	167.18	
PF3D7_1400500	PF3D7_1400500.1	RIF	PF3D7_1400500	0.37	0.14	94.47	
PF3D7_1400600	PF3D7_1400600.1	RIF	PF3D7_1400600	0	0	17.94	
PF3D7_1400700	PF3D7_1400700.1	N/A	PF3D7_1400700	0	0	34.81	
PF3D7_1400800	PF3D7_1400800.1	RIF	PF3D7_1400800	1.2	0.54	319.91	
PF3D7_1400900	PF3D7_1400900.1	N/A	PF3D7_1400900	0	0.17	19.34	
PF3D7_1401000	PF3D7_1401000.1	GBPH	PF3D7_1401000	9.6	0.16	89.59	
PF3D7_1401050	PF3D7_1401050.1	N/A	PF3D7_1401050	1.02	0	13.98	
PF3D7_1401100	PF3D7_1401100.1	N/A	PF3D7_1401100	8.13	0.34	41.43	
PF3D7_1401200	PF3D7_1401200.1	N/A	PF3D7_1401200	0.75	0.18	43.96	
PF3D7_1401300	PF3D7_1401300.1	EH2	PF3D7_1401300	1.49	0.26	75.33	
PF3D7_1401400	PF3D7_1401400.1	ETRAMP14	PF3D7_1401400	5.93	1.8	21.4	
PF3D7_1401500	PF3D7_1401500.1	N/A	PF3D7_1401500	4.51	1.1	138.23	
PF3D7_1401600	PF3D7_1401600.1	N/A	PF3D7_1401600	8.88	5.83	105.37	
PF3D7_1401700	PF3D7_1401700.1	N/A	PF3D7_1401700	24.49	8.06	48.91	
PF3D7_1401800	PF3D7_1401800.1	CK	PF3D7_1401800	177.94	146.66	41.29	
PF3D7_1401900	PF3D7_1401900.1	N/A	PF3D7_1401900	0.59	1.14	192.54	
PF3D7_1402000	PF3D7_1402000.1	N/A	PF3D7_1402000	1.17	0.19	39.7	
PF3D7_1402100	PF3D7_1402100.1	N/A	PF3D7_1402100	1.92	0.39	32.16	
PF3D7_1402200	PF3D7_1402200.1	N/A	PF3D7_1402200	35.12	3.34	31.94	
PF3D7_1402300	PF3D7_1402300.1	RPN6	PF3D7_1402300	4.38	5.06	70.79	
PF3D7_1402400	PF3D7_1402400.1	N/A	PF3D7_1402400	5.18	2.18	45.92	
PF3D7_1402500	PF3D7_1402500.1	N/A	PF3D7_1402500	29.24	4.69	71.07	
PF3D7_1402700	PF3D7_1402700.1	SR140	PF3D7_1402700	7.48	4.08	73.42	
PF3D7_1402800	PF3D7_1402800.1	N/A	PF3D7_1402800	14.41	22.06	65.11	
PF3D7_1402900	PF3D7_1402900.1	N/A	PF3D7_1402900	5.9	1.5	57.54	
PF3D7_1403000	PF3D7_1403000.1	N/A	PF3D7_1403000	5.95	1.6	56.31	
PF3D7_1403100	PF3D7_1403100.1	CAPD2	PF3D7_1403100	26.9	110.67	288.75	
PF3D7_1403200	PF3D7_1403200.1	N/A	PF3D7_1403200	0.87	1.16	496.4	
PF3D7_1403300	PF3D7_1403300.1	N/A	PF3D7_1403300	0.55	0.25	33.53	
PF3D7_1403400	PF3D7_1403400.1	N/A	PF3D7_1403400	0	0.41	23	
PF3D7_1403500	PF3D7_1403500.1	N/A	PF3D7_1403500	21.76	9.59	44.91	
PF3D7_1403600	PF3D7_1403600.1	Sel1	PF3D7_1403600	54.35	15.77	32.25	
PF3D7_1403700	PF3D7_1403700.1	TRAM	PF3D7_1403700	7.02	11.06	108.22	
PF3D7_1403800	PF3D7_1403800.1	MISFIT	PF3D7_1403800	7.55	20.14	86.63	
PF3D7_1403900	PF3D7_1403900.1	CPPED1	PF3D7_1403900	119.54	45.96	44.01	
PF3D7_1404000	PF3D7_1404000.1	RPB4	PF3D7_1404000	13.29	51.34	40.63	
PF3D7_1404100	PF3D7_1404100.1	N/A	PF3D7_1404100	268.13	82.46	47.57	
PF3D7_1404200	PF3D7_1404200.1	N/A	PF3D7_1404200	5.18	29.91	46.75	
PF3D7_1404300	PF3D7_1404300.1	SOAP	PF3D7_1404300	1.87	6.58	31.37	
PF3D7_1404400	PF3D7_1404400.1	N/A	PF3D7_1404400	3.48	1.2	81.12	
PF3D7_1404500	PF3D7_1404500.1	RRP5	PF3D7_1404500	4.92	3.36	41.74	
PF3D7_1404600	PF3D7_1404600.1	ACalpha	PF3D7_1404600	22.96	18.63	47.38	
PF3D7_1404600	PF3D7_1404600.2	ACalpha	PF3D7_1404600	22.96	18.63	47.38	
PF3D7_1404600	PF3D7_1404600.3	ACalpha	PF3D7_1404600	22.96	18.63	47.38	
PF3D7_1404700	PF3D7_1404700.1	N/A	PF3D7_1404700	997.05	429.09	34.04	
PF3D7_1404800	PF3D7_1404800.1	N/A	PF3D7_1404800	51.93	56.74	43.12	
PF3D7_1404900	PF3D7_1404900.1	N/A	PF3D7_1404900	609.43	2473.25	251.04	
PF3D7_1405000	PF3D7_1405000.1	N/A	PF3D7_1405000	15.65	32.94	28.29	
PF3D7_1405100	PF3D7_1405100.1	N/A	PF3D7_1405100	4.35	2.79	61.26	
PF3D7_1405200	PF3D7_1405200.1	BET5	PF3D7_1405200	6.6	2.52	58.65	
PF3D7_1405300	PF3D7_1405300.1	N/A	PF3D7_1405300	4.7	1.44	23.91	
PF3D7_1405400	PF3D7_1405400.1	MutS	PF3D7_1405400	1.24	0.16	22.18	
PF3D7_1405500	PF3D7_1405500.1	CBWD1	PF3D7_1405500	0.22	0.25	12.94	
PF3D7_1405600	PF3D7_1405600.1	RNR	PF3D7_1405600	12.79	6.03	27.36	
PF3D7_1405700	PF3D7_1405700.1	N/A	PF3D7_1405700	137.42	45.59	65.38	
PF3D7_1405800	PF3D7_1405800.1	BOP1	PF3D7_1405800	8.29	2.13	132.97	
PF3D7_1405900	PF3D7_1405900.1	N/A	PF3D7_1405900	2.88	8.97	128.71	
PF3D7_1406000	PF3D7_1406000.1	RBM8A	PF3D7_1406000	2.35	0.22	25.77	
PF3D7_1406100	PF3D7_1406100.1	N/A	PF3D7_1406100	8.74	4.28	26.49	
PF3D7_1406200	PF3D7_1406200.1	SPT6	PF3D7_1406200	4.54	8.2	108.01	
PF3D7_1406300	PF3D7_1406300.1	GDPD	PF3D7_1406300	0.53	0.26	41.82	
PF3D7_1406400	PF3D7_1406400.1	PPR1	PF3D7_1406400	6.84	1.12	18.59	
PF3D7_1406500	PF3D7_1406500.1	WDR65	PF3D7_1406500	0.79	0.32	38.06	
PF3D7_1406600	PF3D7_1406600.1	ClpC	PF3D7_1406600	2.82	0.76	28.68	
PF3D7_1406700	PF3D7_1406700.1	VPS29	PF3D7_1406700	4.4	0.25	45.72	
PF3D7_1406800	PF3D7_1406800.1	GAPM3	PF3D7_1406800	5.01	1.02	86.39	
PF3D7_1406900	PF3D7_1406900.1	RlmN	PF3D7_1406900	5.15	5.95	24.69	
PF3D7_1407000	PF3D7_1407000.1	CCp3	PF3D7_1407000	2.42	0.55	57.84	
PF3D7_1407100	PF3D7_1407100.1	NOP1	PF3D7_1407100	9.47	71.47	923.25	
PF3D7_1407200	PF3D7_1407200.1	N/A	PF3D7_1407200	83	62.62	39.85	
PF3D7_1407300	PF3D7_1407300.1	PRP38B	PF3D7_1407300	34.58	150.84	53.04	
PF3D7_1407400	PF3D7_1407400.1	N/A	PF3D7_1407400	109.09	147.29	34.35	
PF3D7_1407500	PF3D7_1407500.1	TRM112	PF3D7_1407500	25.64	45.28	34.44	
PF3D7_1407600	PF3D7_1407600.1	N/A	PF3D7_1407600	27.17	215.87	58.02	
PF3D7_1407700	PF3D7_1407700.1	N/A	PF3D7_1407700	1946.36	1513.03	67.68	
PF3D7_1407800	PF3D7_1407800.1	PM4	PF3D7_1407800	5.56	8.36	50.31	
PF3D7_1407900	PF3D7_1407900.1	PMI	PF3D7_1407900	1.85	0.43	28.63	
PF3D7_1408000	PF3D7_1408000.1	PMII	PF3D7_1408000	10.33	3.37	27.01	
PF3D7_1408100	PF3D7_1408100.1	PMIII	PF3D7_1408100	8.08	9.13	90.16	
PF3D7_1408200	PF3D7_1408200.1	ApiAP2	PF3D7_1408200	8.12	16.98	53.07	
PF3D7_1408300	PF3D7_1408300.1	N/A	PF3D7_1408300	22.33	55.95	20.93	
PF3D7_1408400	PF3D7_1408400.1	FANCJ	PF3D7_1408400	12.11	9.49	54.97	
PF3D7_1408500	PF3D7_1408500.1	N/A	PF3D7_1408500	9.42	9.91	53.43	
PF3D7_1408600	PF3D7_1408600.1	N/A	PF3D7_1408600	20.83	5.65	86.8	
PF3D7_1408700	PF3D7_1408700.1	N/A	PF3D7_1408700	26.32	39.18	62.65	
PF3D7_1408800	PF3D7_1408800.1	N/A	PF3D7_1408800	1.97	1.22	53.18	
PF3D7_1408900	PF3D7_1408900.1	N/A	PF3D7_1408900	5.37	0.64	11.07	
PF3D7_1409000	PF3D7_1409000.1	N/A	PF3D7_1409000	4.72	0.81	65.55	
PF3D7_1409100	PF3D7_1409100.1	N/A	PF3D7_1409100	16.66	8.41	59.38	
PF3D7_1409200	PF3D7_1409200.1	N/A	PF3D7_1409200	51.72	35.14	68.97	
PF3D7_1409200	PF3D7_1409200.2	N/A	PF3D7_1409200	51.72	35.14	68.97	
PF3D7_1409300	PF3D7_1409300.1	DDI1	PF3D7_1409300	21.04	10.08	33.01	
PF3D7_1409400	PF3D7_1409400.1	N/A	PF3D7_1409400	82.76	43.02	157.11	
PF3D7_1409500	PF3D7_1409500.1	N/A	PF3D7_1409500	1.1	5.04	94.98	
PF3D7_1409600	PF3D7_1409600.1	N/A	PF3D7_1409600	2.66	2.84	33.55	
PF3D7_1409700	PF3D7_1409700.1	N/A	PF3D7_1409700	1.98	0.26	19.11	
PF3D7_1409800	PF3D7_1409800.1	CELF2	PF3D7_1409800	4.83	3.77	59.72	
PF3D7_1409900	PF3D7_1409900.1	CDS	PF3D7_1409900	149.52	319.8	79.93	
PF3D7_1410000	PF3D7_1410000.1	EMC2	PF3D7_1410000	52.84	5.72	16.9	
PF3D7_1410100	PF3D7_1410100.1	N/A	PF3D7_1410100	25.44	17.62	18.46	
PF3D7_1410200	PF3D7_1410200.1	CTPS	PF3D7_1410200	2.63	2.29	107.57	
PF3D7_1410300	PF3D7_1410300.1	N/A	PF3D7_1410300	5.69	10.22	70.78	
PF3D7_1410400	PF3D7_1410400.1	RAP1	PF3D7_1410400	1.17	3.94	38.85	
PF3D7_1410500	PF3D7_1410500.1	N/A	PF3D7_1410500	0	0.54	38.37	
PF3D7_1410600	PF3D7_1410600.1	eIF2gamma	PF3D7_1410600	7.99	6.67	138.47	
PF3D7_1410700	PF3D7_1410700.1	N/A	PF3D7_1410700	3.64	1.81	34.36	
PF3D7_1410800	PF3D7_1410800.1	N/A	PF3D7_1410800	3.66	2.25	104.7	
PF3D7_1410900	PF3D7_1410900.1	N/A	PF3D7_1410900	35.18	65.43	81.86	
PF3D7_1411000	PF3D7_1411000.1	N/A	PF3D7_1411000	4.15	1.49	27.98	
PF3D7_1411000	PF3D7_1411000.2	N/A	PF3D7_1411000	4.15	1.49	27.98	
PF3D7_1411100	PF3D7_1411100.1	N/A	PF3D7_1411100	11.76	6.23	108.34	
